LocationID	Treatment	Label	LabelID	Type	Type2	TreeSizeCat	TreePerimeter	Lat	Long	Aspect	DistIsland	DistReef	TreesWithin50	Timepoint	Grouping	MedGroupProb	Maxgroupsize	TotalGroupingFish	Predominantspecies
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	3	n	0	9	9	Lutjanussp.
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	4	n	0	10	10	Lutjanussp.
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	5	n	0	6	6	Lutjanussp.
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	6	n	0	8	8	Lutjanussp.
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	7	n	0	6	6	Lutjanussp.
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	8	n	0	6	6	Lutjanussp.
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	9	n	0	0	0	nogroup
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	10	n	0	6	6	Lutjanussp.
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	11	n	0	8	8	Lutjanussp.
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	12	n	0	6	6	Lutjanussp.
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	13	n	0	0	0	nogroup
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	14	n	0	0	0	nogroup
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	15	n	0	0	0	nogroup
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	16	n	0	6	6	Lutjanussp.
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	17	n	0	14	14	Lutjanussp.
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	18	n	0	6	6	Lutjanussp.
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	19	n	0	6	6	Lizavaigiensis
3	a	3TL	6	large	large	L	30.3	-18.173308	178.519574	e	155.3255161	548.4669352	7	20	n	0	0	0	nogroup
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	1	y	0.95	31	31	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	2	y	0.95	40	40	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	3	y	0.95	28	28	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	4	y	0.95	29	29	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	5	y	0.95	35	35	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	6	y	0.95	28	28	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	7	y	0.95	34	34	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	8	y	0.95	29	29	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	9	y	0.95	33	33	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	10	y	0.95	32	32	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	11	y	0.95	24	24	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	12	n	0.95	18	18	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	13	y	0.95	35	35	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	14	y	0.95	32	32	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	15	y	0.95	26	26	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	16	y	0.95	23	23	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	17	y	0.95	20	20	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	18	y	0.95	34	40	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	19	y	0.95	29	29	Lutjanussp.
2	a	2TL	7	large	large	L	17.5	-18.175207	178.518192	e	134.7359018	478.5779172	4	20	y	0.95	35	35	Lutjanussp.
1	a	1TL	8	large	large	L	21.4	-18.174679	178.519585	e	213.461218	427.930848	1	1	y	0.55	31	31	Lutjanussp.
1	a	1TL	8	large	large	L	21.4	-18.174679	178.519585	e	213.461218	427.930848	1	2	y	0.55	41	41	Lutjanussp.
1	a	1TL	8	large	large	L	21.4	-18.174679	178.519585	e	213.461218	427.930848	1	3	y	0.55	31	31	Lutjanussp.
1	a	1TL	8	large	large	L	21.4	-18.174679	178.519585	e	213.461218	427.930848	1	4	y	0.55	26	26	Lutjanussp.
1	a	1TL	8	large	large	L	21.4	-18.174679	178.519585	e	213.461218	427.930848	1	5	y	0.55	26	26	Lutjanussp.
1	a	1TL	8	large	large	L	21.4	-18.174679	178.519585	e	213.461218	427.930848	1	6	y	0.55	21	21	Abudefdufsexfasciatus
1	a	1TL	8	large	large	L	21.4	-18.174679	178.519585	e	213.461218	427.930848	1	7	n	0.55	7	7	Lutjanussp.
1	a	1TL	8	large	large	L	21.4	-18.174679	178.519585	e	213.461218	427.930848	1	8	n	0.55	7	7	Lutjanussp.
1	a	1TL	8	large	large	L	21.4	-18.174679	178.519585	e	213.461218	427.930848	1	9	n	0.55	8	8	Lutjanussp.
1	a	1TL	8	large	large	L	21.4	-18.174679	178.519585	e	213.461218	427.930848	1	10	n	0.55	8	8	Lutjanussp.
1	a	1TL	8	large	large	L	21.4	-18.174679	178.519585	e	213.461218	427.930848	1	11	n	0.55	19	28	Lutjanussp.
1	a	1TL	8	large	large	L	21.4	-18.174679	178.519585	e	213.461218	427.930848	1	12	n	0.55	7	7	Lutjanussp.
1	a	1TL	8	large	large	L	21.4	-18.174679	178.519585	e	213.461218	427.930848	1	13	y	0.55	27	41	Lutjanussp.
