LocationID	SiteID	Treatment	Label	Type	TreePerimeter	Lat	Long	Aspect	DistIsland	DistReef	TreesWithin50	Timepoint	GroupingProb	Grouping	MedGroupProb	Maxgroupsize	TotalGroupingFish	Predominantspecies
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	16	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	17	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	18	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	19	0	n	0	0	0	nogroup
6	3	b	6NTL	control	na	-18.172241	178.521367	na	349.9794941	538.3360735	1	20	0	n	0	0	0	nogroup
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	1	100	y	0.85	51	51	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	2	100	y	0.85	49	49	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	3	100	y	0.85	28	28	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	4	100	y	0.85	30	30	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	5	100	y	0.85	40	40	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	6	100	y	0.85	44	44	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	7	100	y	0.85	38	38	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	8	100	y	0.85	37	37	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	9	100	y	0.85	35	35	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	10	100	y	0.85	31	40	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	11	100	y	0.85	25	25	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	12	100	y	0.85	23	23	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	13	100	y	0.85	26	41	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	14	100	y	0.85	26	26	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	15	100	y	0.85	29	29	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	16	100	y	0.85	22	34	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	17	0	n	0.85	17	17	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	18	0	n	0.85	19	19	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	19	0	n	0.85	14	14	Lutjanussp.
6	3	a	6TL	large	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	20	100	y	0.85	25	25	Lutjanussp.
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	1	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	2	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	3	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	4	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	5	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	6	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	7	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	8	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	9	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	10	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	11	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	12	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	13	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	14	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	15	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	16	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	17	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	18	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	19	0	n	0	0	0	nogroup
5	4	b	5NTL	control	na	-18.173228	178.521284	na	335.9707207	453.2844543	0	20	0	n	0	0	0	nogroup
